league,week,franchise_id,franchise_score,opponent_id,opponent_score,result,diff_score,diff_rank,total_score,total_rank,franchise_name,user_name,franchise_name_opponent,user_name_opponent
LTS Bowl L2,2,9,163.75,12,99.5,W,64.25,12,263.25,166,Fozberry64,Fozberry64,Edina Cake Eaters,ecsirkin
LTS Bowl L2,2,10,108.3,2,138.2,L,29.89999999999999,65,246.5,181,Duluth Eskimos,GREGGELS17,Sexy Skeletons,aspires
LTS Bowl L2,2,11,222.3,5,136.35,W,85.95000000000002,3,358.65,8,Horsey Sauce,FeelingDangerouz,SOTBD,SOTBD
LTS Bowl L2,2,12,99.5,9,163.75,L,64.25,12,263.25,166,Edina Cake Eaters,ecsirkin,Fozberry64,Fozberry64
LTS Bowl L2,3,1,151.4,5,131.1,W,20.30000000000001,95,282.5,129,fantasyscott,fantasyscott,SOTBD,SOTBD
LTS Bowl L2,3,2,171,6,154.65,W,16.349999999999994,111,325.65,47,Sexy Skeletons,aspires,Kendradhl,Kendradhl
LTS Bowl L2,3,3,158,9,134.7,W,23.30000000000001,89,292.7,108,Randomizer Interns,matthewdwood82,Fozberry64,Fozberry64
LTS Bowl L2,3,4,146.25,10,102.9,W,43.349999999999994,37,249.15,180,The Huge Mistaeks,RipSlabcheek,Duluth Eskimos,GREGGELS17
LTS Bowl L2,3,5,131.1,1,151.4,L,20.30000000000001,95,282.5,129,SOTBD,SOTBD,fantasyscott,fantasyscott
LTS Bowl L2,3,6,154.65,2,171,L,16.349999999999994,111,325.65,47,Kendradhl,Kendradhl,Sexy Skeletons,aspires
LTS Bowl L2,3,7,152.7,11,140,W,12.699999999999989,125,292.7,108,Natanab,Natanab,Horsey Sauce,FeelingDangerouz
LTS Bowl L2,3,8,150.75,12,109.25,W,41.5,40,260,169,kipahisbush,kipahisbush,Edina Cake Eaters,ecsirkin
LTS Bowl L2,3,9,134.7,3,158,L,23.30000000000001,89,292.7,108,Fozberry64,Fozberry64,Randomizer Interns,matthewdwood82
LTS Bowl L2,3,10,102.9,4,146.25,L,43.349999999999994,37,249.15,180,Duluth Eskimos,GREGGELS17,The Huge Mistaeks,RipSlabcheek
LTS Bowl L2,3,11,140,7,152.7,L,12.699999999999989,125,292.7,108,Horsey Sauce,FeelingDangerouz,Natanab,Natanab
LTS Bowl L2,3,12,109.25,8,150.75,L,41.5,40,260,169,Edina Cake Eaters,ecsirkin,kipahisbush,kipahisbush
LTS Bowl L2,4,1,113.65,10,151.95,L,38.29999999999998,49,265.6,161,fantasyscott,fantasyscott,Duluth Eskimos,GREGGELS17
LTS Bowl L2,4,2,173.4,3,145.6,W,27.80000000000001,74,319,56,Sexy Skeletons,aspires,Randomizer Interns,matthewdwood82
LTS Bowl L2,4,3,145.6,2,173.4,L,27.80000000000001,74,319,56,Randomizer Interns,matthewdwood82,Sexy Skeletons,aspires
LTS Bowl L2,4,4,135.55,12,147.95,L,12.399999999999977,127,283.5,127,The Huge Mistaeks,RipSlabcheek,Edina Cake Eaters,ecsirkin
LTS Bowl L2,4,5,190.5,9,182.7,W,7.800000000000011,144,373.2,2,SOTBD,SOTBD,Fozberry64,Fozberry64
LTS Bowl L2,4,6,150.75,11,184.2,L,33.44999999999999,60,334.95,27,Kendradhl,Kendradhl,Horsey Sauce,FeelingDangerouz
LTS Bowl L2,4,7,147.15,8,166.95,L,19.799999999999983,98,314.1,68,Natanab,Natanab,kipahisbush,kipahisbush
LTS Bowl L2,4,8,166.95,7,147.15,W,19.799999999999983,98,314.1,68,kipahisbush,kipahisbush,Natanab,Natanab
LTS Bowl L2,4,9,182.7,5,190.5,L,7.800000000000011,144,373.2,2,Fozberry64,Fozberry64,SOTBD,SOTBD
LTS Bowl L2,4,10,151.95,1,113.65,W,38.29999999999998,49,265.6,161,Duluth Eskimos,GREGGELS17,fantasyscott,fantasyscott
LTS Bowl L2,4,11,184.2,6,150.75,W,33.44999999999999,60,334.95,27,Horsey Sauce,FeelingDangerouz,Kendradhl,Kendradhl
LTS Bowl L2,4,12,147.95,4,135.55,W,12.399999999999977,127,283.5,127,Edina Cake Eaters,ecsirkin,The Huge Mistaeks,RipSlabcheek
LTS Bowl L2,5,1,112.1,6,178.95,L,66.85,11,291.04999999999995,113,fantasyscott,fantasyscott,Kendradhl,Kendradhl
LTS Bowl L2,5,2,187.5,12,150.45,W,37.05000000000001,50,337.95,25,Sexy Skeletons,aspires,Edina Cake Eaters,ecsirkin
LTS Bowl L2,5,3,167.15,4,201.05,L,33.900000000000006,59,368.20000000000005,4,Randomizer Interns,matthewdwood82,The Huge Mistaeks,RipSlabcheek
LTS Bowl L2,5,4,201.05,3,167.15,W,33.900000000000006,59,368.20000000000005,4,The Huge Mistaeks,RipSlabcheek,Randomizer Interns,matthewdwood82
LTS Bowl L2,5,5,144.65,8,163.05,L,18.400000000000006,105,307.70000000000005,82,SOTBD,SOTBD,kipahisbush,kipahisbush
LTS Bowl L2,5,6,178.95,1,112.1,W,66.85,11,291.04999999999995,113,Kendradhl,Kendradhl,fantasyscott,fantasyscott
LTS Bowl L2,5,7,131.1,9,188.1,L,57,18,319.2,55,Natanab,Natanab,Fozberry64,Fozberry64
LTS Bowl L2,5,8,163.05,5,144.65,W,18.400000000000006,105,307.70000000000005,82,kipahisbush,kipahisbush,SOTBD,SOTBD
LTS Bowl L2,5,9,188.1,7,131.1,W,57,18,319.2,55,Fozberry64,Fozberry64,Natanab,Natanab
LTS Bowl L2,5,10,200.45,11,150.4,W,50.04999999999998,24,350.85,11,Duluth Eskimos,GREGGELS17,Horsey Sauce,FeelingDangerouz
LTS Bowl L2,5,11,150.4,10,200.45,L,50.04999999999998,24,350.85,11,Horsey Sauce,FeelingDangerouz,Duluth Eskimos,GREGGELS17
LTS Bowl L2,5,12,150.45,2,187.5,L,37.05000000000001,50,337.95,25,Edina Cake Eaters,ecsirkin,Sexy Skeletons,aspires
LTS Bowl L2,6,1,106.4,8,136.15,L,29.75,68,242.55,183,fantasyscott,fantasyscott,kipahisbush,kipahisbush
LTS Bowl L2,6,2,189.2,7,149.5,W,39.69999999999999,44,338.7,21,Sexy Skeletons,aspires,Natanab,Natanab
LTS Bowl L2,6,3,135.85,10,130.45,W,5.400000000000006,156,266.29999999999995,160,Randomizer Interns,matthewdwood82,Duluth Eskimos,GREGGELS17
LTS Bowl L2,6,4,153.45,5,117.65,W,35.79999999999998,53,271.1,150,The Huge Mistaeks,RipSlabcheek,SOTBD,SOTBD
LTS Bowl L2,6,5,117.65,4,153.45,L,35.79999999999998,53,271.1,150,SOTBD,SOTBD,The Huge Mistaeks,RipSlabcheek
LTS Bowl L2,6,6,123,12,133.4,L,10.400000000000006,134,256.4,173,Kendradhl,Kendradhl,Edina Cake Eaters,ecsirkin
LTS Bowl L2,6,7,149.5,2,189.2,L,39.69999999999999,44,338.7,21,Natanab,Natanab,Sexy Skeletons,aspires
LTS Bowl L2,6,8,136.15,1,106.4,W,29.75,68,242.55,183,kipahisbush,kipahisbush,fantasyscott,fantasyscott
LTS Bowl L2,6,9,152.35,11,154.75,L,2.4000000000000057,178,307.1,83,Fozberry64,Fozberry64,Horsey Sauce,FeelingDangerouz
LTS Bowl L2,6,10,130.45,3,135.85,L,5.400000000000006,156,266.29999999999995,160,Duluth Eskimos,GREGGELS17,Randomizer Interns,matthewdwood82
LTS Bowl L2,6,11,154.75,9,152.35,W,2.4000000000000057,178,307.1,83,Horsey Sauce,FeelingDangerouz,Fozberry64,Fozberry64
LTS Bowl L2,6,12,133.4,6,123,W,10.400000000000006,134,256.4,173,Edina Cake Eaters,ecsirkin,Kendradhl,Kendradhl
LTS Bowl L2,7,1,154.1,9,188.5,L,34.400000000000006,57,342.6,19,fantasyscott,fantasyscott,Fozberry64,Fozberry64
LTS Bowl L2,7,2,138.3,5,114.6,W,23.700000000000017,86,252.9,175,Sexy Skeletons,aspires,SOTBD,SOTBD
LTS Bowl L2,7,3,156.5,6,135.3,W,21.19999999999999,92,291.8,110,Randomizer Interns,matthewdwood82,Kendradhl,Kendradhl
LTS Bowl L2,7,4,195.2,7,155.7,W,39.5,45,350.9,10,The Huge Mistaeks,RipSlabcheek,Natanab,Natanab
LTS Bowl L2,7,5,114.6,2,138.3,L,23.700000000000017,86,252.9,175,SOTBD,SOTBD,Sexy Skeletons,aspires
LTS Bowl L2,7,6,135.3,3,156.5,L,21.19999999999999,92,291.8,110,Kendradhl,Kendradhl,Randomizer Interns,matthewdwood82
LTS Bowl L2,7,7,155.7,4,195.2,L,39.5,45,350.9,10,Natanab,Natanab,The Huge Mistaeks,RipSlabcheek
LTS Bowl L2,7,8,158.95,11,177.75,L,18.80000000000001,104,336.7,26,kipahisbush,kipahisbush,Horsey Sauce,FeelingDangerouz
LTS Bowl L2,7,9,188.5,1,154.1,W,34.400000000000006,57,342.6,19,Fozberry64,Fozberry64,fantasyscott,fantasyscott
LTS Bowl L2,7,10,127.9,12,131.35,L,3.4499999999999886,170,259.25,170,Duluth Eskimos,GREGGELS17,Edina Cake Eaters,ecsirkin
LTS Bowl L2,7,11,177.75,8,158.95,W,18.80000000000001,104,336.7,26,Horsey Sauce,FeelingDangerouz,kipahisbush,kipahisbush
LTS Bowl L2,7,12,131.35,10,127.9,W,3.4499999999999886,170,259.25,170,Edina Cake Eaters,ecsirkin,Duluth Eskimos,GREGGELS17
LTS Bowl L2,8,1,146.55,3,176.35,L,29.799999999999983,67,322.9,51,fantasyscott,fantasyscott,Randomizer Interns,matthewdwood82
LTS Bowl L2,8,2,136.85,8,132.7,W,4.150000000000006,164,269.54999999999995,153,Sexy Skeletons,aspires,kipahisbush,kipahisbush
LTS Bowl L2,8,3,176.35,1,146.55,W,29.799999999999983,67,322.9,51,Randomizer Interns,matthewdwood82,fantasyscott,fantasyscott
LTS Bowl L2,8,4,155.7,9,161.35,L,5.650000000000006,155,317.04999999999995,60,The Huge Mistaeks,RipSlabcheek,Fozberry64,Fozberry64
LTS Bowl L2,8,5,153.75,6,113.6,W,40.150000000000006,43,267.35,159,SOTBD,SOTBD,Kendradhl,Kendradhl
